"tournament","year","gender","match_num","date","winning_team","w_rank","losing_team","l_rank","score","duration","round","sub_round"
"New York City Open",2015,"M","19","Jul 17 - Jul 19","Brian Bomgren/Tim Bomgren","10","Casey Jennings/Jeremy Casebeer","5","21-16, 19-21, 16-14","1:04","Contender's Bracket","Round 2"
"New York City Open",2015,"M","20","Jul 17 - Jul 19","Dave McKienzie/Russ Marchewka","9","Jake Rosener/Raffe Paulis","14, Q4","21-16, 21-17","0:43","Contender's Bracket","Round 2"
"New York City Open",2015,"M","21","Jul 17 - Jul 19","Jason Lochhead/Robbie Page","12","Derek Olson/Hudson Bates","7","21-11, 16-21, 15-12","0:55","Contender's Bracket","Round 2"
"New York City Open",2015,"M","22","Jul 17 - Jul 19","Avery Drost/Billy Kolinske","8","Stafford Slick/Todd Rogers","3","19-21, 21-19, 15-6","1:01","Contender's Bracket","Round 2"
"New York City Open",2015,"M","23","Jul 17 - Jul 19","Brian Bomgren/Tim Bomgren","10","Dave McKienzie/Russ Marchewka","9","21-11, 21-17","0:43","Contender's Bracket","Round 3"
"New York City Open",2015,"M","24","Jul 17 - Jul 19","Avery Drost/Billy Kolinske","8","Jason Lochhead/Robbie Page","12","22-20, 30-32, 15-10","1:17","Contender's Bracket","Round 3"
"New York City Open",2015,"M","25","Jul 17 - Jul 19","Trevor Crabb/Ty Tramblie","6","Brian Bomgren/Tim Bomgren","10","24-22, 21-16","0:48","Contender's Bracket","Round 4"
"New York City Open",2015,"M","26","Jul 17 - Jul 19","Avery Drost/Billy Kolinske","8","Billy Allen/Brad Keenan","4","21-16, 26-24","0:53","Contender's Bracket","Round 4"
"New York City Open",2015,"M","27","Jul 17 - Jul 19","Casey Patterson/Jake Gibb","1","Trevor Crabb/Ty Tramblie","6","21-17, 21-14","0:47","Semifinals",
"New York City Open",2015,"M","28","Jul 17 - Jul 19","John Mayer/Ryan Doherty","2","Avery Drost/Billy Kolinske","8","21-13, 21-16","0:39","Semifinals",
"New York City Open",2015,"M","29","Jul 17 - Jul 19","Casey Patterson/Jake Gibb","1","John Mayer/Ryan Doherty","2","19-21, 21-15, 15-12","1:11","Finals",
"New York City Open",2015,"W","2","Jul 17 - Jul 19","Carol Welcher/Gretchen Duffner-Hand","Q8","Heidi Pfeiffer/Jennifer Henderson","Q9","21-10, 21-15","0:41","Qualifier Bracket","Round 1"
"New York City Open",2015,"W","3","Jul 17 - Jul 19","Kristine Monforte/Summer Nash","15, Q5","Lauren DeTurk/Sydney Deturk","Q12","22-20, 21-18","0:44","Qualifier Bracket","Round 1"
"New York City Open",2015,"W","4","Jul 17 - Jul 19","Courtney Trevino/Taylor Nutterfield","Q4","Amanda Alles/Magdalena Kowalska","Q13","21-7, 21-16","0:38","Qualifier Bracket","Round 1"
"New York City Open",2015,"W","5","Jul 17 - Jul 19","Amanda Wiggins/Dana Fiume","14, Q3","Lisa Jedlicka/Noelle Bay","Q14","21-10, 21-12","0:38","Qualifier Bracket","Round 1"
"New York City Open",2015,"W","6","Jul 17 - Jul 19","Janelle Allen/Traci Morin","Q6","Alexa Strange/Lilla Frederick","Q11","21-13, 21-14","0:38","Qualifier Bracket","Round 1"
"New York City Open",2015,"W","7","Jul 17 - Jul 19","Kelly Claes/Sara Hughes","16, Q10","Jennifer Dalhausser/Tori Grafeman","Q7","21-11, 21-7","0:30","Qualifier Bracket","Round 1"
"New York City Open",2015,"W","8","Jul 17 - Jul 19","Lisa Fitzgerald/Lynne Galli","Q2","Christine Lynders/Dianne Johannson","Q15","21-6, 21-9","0:30","Qualifier Bracket","Round 1"
"New York City Open",2015,"W","9","Jul 17 - Jul 19","Meg Dawson/Tiffany Marinos","13, Q1","Carol Welcher/Gretchen Duffner-Hand","Q8","21-16, 21-19","0:48","Qualifier Bracket","Round 2"
"New York City Open",2015,"W","10","Jul 17 - Jul 19","Kristine Monforte/Summer Nash","15, Q5","Courtney Trevino/Taylor Nutterfield","Q4","21-13, 32-30","0:58","Qualifier Bracket","Round 2"
"New York City Open",2015,"W","11","Jul 17 - Jul 19","Amanda Wiggins/Dana Fiume","14, Q3","Janelle Allen/Traci Morin","Q6","21-17, 21-15","0:40","Qualifier Bracket","Round 2"
"New York City Open",2015,"W","12","Jul 17 - Jul 19","Kelly Claes/Sara Hughes","16, Q10","Lisa Fitzgerald/Lynne Galli","Q2","21-15, 21-13","0:38","Qualifier Bracket","Round 2"
"New York City Open",2015,"W","1","Jul 17 - Jul 19","April Ross/Jennifer Fopma","1","Kelly Claes/Sara Hughes","16, Q10","21-15, 21-13","0:35","Winner's Bracket","Round 1"
"New York City Open",2015,"W","2","Jul 17 - Jul 19","Angela Bensend/Geena Urango","8","Sheila Shaw/Tealle Hunkus","9","23-21, 21-18","0:40","Winner's Bracket","Round 1"
"New York City Open",2015,"W","3","Jul 17 - Jul 19","Amanda Dowdy/Heather McGuire","5","Jessica Stubinski/Kerri Schuh","12","21-18, 21-19","0:39","Winner's Bracket","Round 1"
"New York City Open",2015,"W","4","Jul 17 - Jul 19","Jenny Kropp/Nicole Branagh","4","Meg Dawson/Tiffany Marinos","13, Q1","21-18, 21-12","0:41","Winner's Bracket","Round 1"
"New York City Open",2015,"W","5","Jul 17 - Jul 19","Kendra VanZwieten/Kim DiCello","3","Amanda Wiggins/Dana Fiume","14, Q3","24-26, 21-15, 15-6","0:52","Winner's Bracket","Round 1"
"New York City Open",2015,"W","6","Jul 17 - Jul 19","Ali McColloch/Emily Stockman","6","Kelly Schumacher/Tanya White","11","21-15, 21-16","0:35","Winner's Bracket","Round 1"
"New York City Open",2015,"W","7","Jul 17 - Jul 19","Caitlin Ledoux/Irene Pollock","10","Branagan Fuller/Megan Wallin-Brockway","7","21-19, 21-18","0:44","Winner's Bracket","Round 1"
"New York City Open",2015,"W","8","Jul 17 - Jul 19","Emily Day/Jennifer Kessy","2","Kristine Monforte/Summer Nash","15, Q5","21-13, 21-14","0:42","Winner's Bracket","Round 1"
"New York City Open",2015,"W","9","Jul 17 - Jul 19","April Ross/Jennifer Fopma","1","Angela Bensend/Geena Urango","8","21-15, 21-15","0:35","Winner's Bracket","Round 2"
"New York City Open",2015,"W","10","Jul 17 - Jul 19","Jenny Kropp/Nicole Branagh","4","Amanda Dowdy/Heather McGuire","5","21-19, 21-19","0:46","Winner's Bracket","Round 2"
"New York City Open",2015,"W","11","Jul 17 - Jul 19","Kendra VanZwieten/Kim DiCello","3","Ali McColloch/Emily Stockman","6","21-19, 21-15","0:37","Winner's Bracket","Round 2"
"New York City Open",2015,"W","12","Jul 17 - Jul 19","Emily Day/Jennifer Kessy","2","Caitlin Ledoux/Irene Pollock","10","21-14, 21-15","0:40","Winner's Bracket","Round 2"
"New York City Open",2015,"W","13","Jul 17 - Jul 19","Jenny Kropp/Nicole Branagh","4","April Ross/Jennifer Fopma","1","21-16, 21-19","0:45","Winner's Bracket","Round 3"
"New York City Open",2015,"W","14","Jul 17 - Jul 19","Emily Day/Jennifer Kessy","2","Kendra VanZwieten/Kim DiCello","3","21-13, 21-17","0:39","Winner's Bracket","Round 3"
"New York City Open",2015,"W","15","Jul 17 - Jul 19","Branagan Fuller/Megan Wallin-Brockway","7","Kristine Monforte/Summer Nash","15, Q5","21-18, 21-15","0:41","Contender's Bracket","Round 1"
"New York City Open",2015,"W","16","Jul 17 - Jul 19","Amanda Wiggins/Dana Fiume","14, Q3","Kelly Schumacher/Tanya White","11","21-15, 21-18","0:38","Contender's Bracket","Round 1"
"New York City Open",2015,"W","17","Jul 17 - Jul 19","Jessica Stubinski/Kerri Schuh","12","Meg Dawson/Tiffany Marinos","13, Q1","21-17, 21-15","0:40","Contender's Bracket","Round 1"
"New York City Open",2015,"W","18","Jul 17 - Jul 19","Kelly Claes/Sara Hughes","16, Q10","Sheila Shaw/Tealle Hunkus","9","21-18, 21-13","0:35","Contender's Bracket","Round 1"
"New York City Open",2015,"W","19","Jul 17 - Jul 19","Amanda Dowdy/Heather McGuire","5","Branagan Fuller/Megan Wallin-Brockway","7","21-19, 21-11","0:40","Contender's Bracket","Round 2"
"New York City Open",2015,"W","20","Jul 17 - Jul 19","Angela Bensend/Geena Urango","8","Amanda Wiggins/Dana Fiume","14, Q3","21-16, 21-14","0:36","Contender's Bracket","Round 2"
"New York City Open",2015,"W","21","Jul 17 - Jul 19","Jessica Stubinski/Kerri Schuh","12","Caitlin Ledoux/Irene Pollock","10","18-21, 21-14, 15-10","0:51","Contender's Bracket","Round 2"
"New York City Open",2015,"W","22","Jul 17 - Jul 19","Kelly Claes/Sara Hughes","16, Q10","Ali McColloch/Emily Stockman","6","21-16, 18-21, 15-5","0:52","Contender's Bracket","Round 2"
"New York City Open",2015,"W","23","Jul 17 - Jul 19","Angela Bensend/Geena Urango","8","Amanda Dowdy/Heather McGuire","5","21-15, 21-15","0:40","Contender's Bracket","Round 3"
"New York City Open",2015,"W","24","Jul 17 - Jul 19","Kelly Claes/Sara Hughes","16, Q10","Jessica Stubinski/Kerri Schuh","12","23-21, 21-16","0:39","Contender's Bracket","Round 3"
"New York City Open",2015,"W","25","Jul 17 - Jul 19","Kendra VanZwieten/Kim DiCello","3","Angela Bensend/Geena Urango","8","21-16, 21-12","0:39","Contender's Bracket","Round 4"
"New York City Open",2015,"W","26","Jul 17 - Jul 19","Kelly Claes/Sara Hughes","16, Q10","April Ross/Jennifer Fopma","1","21-19, 21-15","0:38","Contender's Bracket","Round 4"
"New York City Open",2015,"W","27","Jul 17 - Jul 19","Jenny Kropp/Nicole Branagh","4","Kendra VanZwieten/Kim DiCello","3","21-10, 21-19","0:44","Semifinals",
"New York City Open",2015,"W","28","Jul 17 - Jul 19","Emily Day/Jennifer Kessy","2","Kelly Claes/Sara Hughes","16, Q10","30-28, 18-21, 15-10","1:12","Semifinals",
"New York City Open",2015,"W","29","Jul 17 - Jul 19","Emily Day/Jennifer Kessy","2","Jenny Kropp/Nicole Branagh","4","24-22, 19-21, 23-21","1:20","Finals",
"FIVB smart St. Pete Grand Slam",2015,"W","2","Jun 15 - Jun 21","Caleigh Whitaker Canada/Kacie MacTavish","Q16","Ingrid Lunde/Vilde Solvoll Norway","Q17","21-18, 21-14","0:39","Qualifier Bracket","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","3","Jun 15 - Jun 21","Julia Grossner Germany/Victoria Bieneck","Q9","Ayana Dyette Trinidad and Tobago/Malika Davidson","Q24","21-8, 21-10","0:26","Qualifier Bracket","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","4","Jun 15 - Jun 21","Brittany Hochevar/Heather McGuire United States","32, Q8","Angela Bensend/Geena Urango United States","Q25","20-22, 21-15, 15-11","0:57","Qualifier Bracket","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","6","Jun 15 - Jun 21","Norisbeth Agudo/Olaya Pazo Venezuela","Q12","Federica Tonon Italy/Greta Cicolari","Q21","22-24, 21-19, 15-10","0:52","Qualifier Bracket","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","7","Jun 15 - Jun 21","Xinyi Xia China/Yuanyuan Ma","Q13","Bibiana Candelas/Claudia Rios Mexico","Q20","21-16, 13-21, 15-10","0:45","Qualifier Bracket","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","10","Jun 15 - Jun 21","Amanda Dowdy/Kendra VanZwieten United States","Q19","Caitlin Ledoux United States/Irene Pollock","Q14","21-19, 19-21, 15-12","0:58","Qualifier Bracket","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","11","Jun 15 - Jun 21","Camilla Nilsson/Tadva Yoken Sweden","Q11","Oda Ulveseth Norway/Siv Skjong","Q22","21-17, 21-4","0:32","Qualifier Bracket","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","14","Jun 15 - Jun 21","Maria Tsiartsiani Greece/Vasiliki Arvaniti","Q10","Elisabeth Klopf Austria/Eva Freiberger","Q23","21-15, 21-16","0:34","Qualifier Bracket","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","15","Jun 15 - Jun 21","Mariafe Artacho/Nicole Laird Australia","Q18","Brandie Wilkerson Canada/Julie Gordon","Q15","22-20, 20-22, 15-9","0:55","Qualifier Bracket","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","17","Jun 15 - Jun 21","Fernanda Alves/Taiana Lima Brazil","5, Q1","Caleigh Whitaker Canada/Kacie MacTavish","Q16","21-13, 21-13","0:38","Qualifier Bracket","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","18","Jun 15 - Jun 21","Brittany Hochevar/Heather McGuire United States","32, Q8","Julia Grossner Germany/Victoria Bieneck","Q9","18-21, 28-26, 15-12","1:14","Qualifier Bracket","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","19","Jun 15 - Jun 21","Barbara Hansel/Stefanie Schwaiger Austria","28, Q5","Norisbeth Agudo/Olaya Pazo Venezuela","Q12","23-21, 21-18","0:46","Qualifier Bracket","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","20","Jun 15 - Jun 21","Carolina Horta/Liliane Maestrini Brazil","22, Q4","Xinyi Xia China/Yuanyuan Ma","Q13","21-18, 21-18","0:41","Qualifier Bracket","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","21","Jun 15 - Jun 21","Chantal Laboureur/Julia Sude Germany","13, Q3","Amanda Dowdy/Kendra VanZwieten United States","Q19","21-14, 21-16","0:39","Qualifier Bracket","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","22","Jun 15 - Jun 21","Anouk Verge-Depre Switzerland/Isabelle Forrer","29, Q6","Camilla Nilsson/Tadva Yoken Sweden","Q11","21-15, 21-15","0:36","Qualifier Bracket","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","23","Jun 15 - Jun 21","Jennifer Fopma United States/Nicole Branagh","31, Q7","Maria Tsiartsiani Greece/Vasiliki Arvaniti","Q10","21-15, 21-18","0:45","Qualifier Bracket","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","24","Jun 15 - Jun 21","Carolina Salgado/Maria Clara Salgado Brazil","10, Q2","Mariafe Artacho/Nicole Laird Australia","Q18","21-18, 21-17","0:42","Qualifier Bracket","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","1","Jun 15 - Jun 21","Larissa Franca Brazil/Talita Antunes","1","Brittany Hochevar/Heather McGuire United States","32, Q8","21-10, 21-18","0:35","Pool A","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","2","Jun 15 - Jun 21","Fan Wang/Yuan Yue China","16","Joana Heidrich/Nadine Zumkehr Switzerland","17","21-13, 21-17","0:38","Pool A","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","17","Jun 15 - Jun 21","Larissa Franca Brazil/Talita Antunes","1","Joana Heidrich/Nadine Zumkehr Switzerland","17","21-13, 23-21","0:36","Pool A","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","18","Jun 15 - Jun 21","Fan Wang/Yuan Yue China","16","Brittany Hochevar/Heather McGuire United States","32, Q8","22-20, 21-16","0:43","Pool A","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","33","Jun 15 - Jun 21","Larissa Franca Brazil/Talita Antunes","1","Fan Wang/Yuan Yue China","16","28-26, 21-19","2:14","Pool A","Round 3"
"FIVB smart St. Pete Grand Slam",2015,"W","34","Jun 15 - Jun 21","Joana Heidrich/Nadine Zumkehr Switzerland","17","Brittany Hochevar/Heather McGuire United States","32, Q8","14-21, 25-23, 15-12","2:09","Pool A","Round 3"
"FIVB smart St. Pete Grand Slam",2015,"W","3","Jun 15 - Jun 21","Agatha Bednarczuk/Barbara Seixas Brazil","2","Jennifer Fopma United States/Nicole Branagh","31, Q7","21-15, 21-13","0:34","Pool B","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","4","Jun 15 - Jun 21","Ilka Semmler Germany/Katrin Holtwick","15","Jamie Broder/Kristina May Canada","18","21-17, 21-10","0:37","Pool B","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","19","Jun 15 - Jun 21","Agatha Bednarczuk/Barbara Seixas Brazil","2","Jamie Broder/Kristina May Canada","18","21-16, 21-17","0:40","Pool B","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","20","Jun 15 - Jun 21","Jennifer Fopma United States/Nicole Branagh","31, Q7","Ilka Semmler Germany/Katrin Holtwick","15","21-17, 21-19","0:38","Pool B","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","35","Jun 15 - Jun 21","Agatha Bednarczuk/Barbara Seixas Brazil","2","Ilka Semmler Germany/Katrin Holtwick","15","21-17, 21-15","0:41","Pool B","Round 3"
"FIVB smart St. Pete Grand Slam",2015,"W","36","Jun 15 - Jun 21","Jennifer Fopma United States/Nicole Branagh","31, Q7","Jamie Broder/Kristina May Canada","18","21-19, 19-21, 17-15","1:00","Pool B","Round 3"
"FIVB smart St. Pete Grand Slam",2015,"W","5","Jun 15 - Jun 21","Juliana Felisberta Brazil/Maria Antonelli","3","Sayaka Mizoe/Takemi Nishibori Japan","30","21-16, 21-16","0:44","Pool C","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","6","Jun 15 - Jun 21","Kristyna Kolocova/Marketa Slukova Czech Republic","14","Dominika Nestarcova Slovak Republic/Natalia Dubovcova","19","21-16, 22-24, 15-13","1:03","Pool C","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","21","Jun 15 - Jun 21","Juliana Felisberta Brazil/Maria Antonelli","3","Dominika Nestarcova Slovak Republic/Natalia Dubovcova","19","21-13, 21-14","0:30","Pool C","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","22","Jun 15 - Jun 21","Kristyna Kolocova/Marketa Slukova Czech Republic","14","Sayaka Mizoe/Takemi Nishibori Japan","30","21-17, 21-19","0:42","Pool C","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","37","Jun 15 - Jun 21","Juliana Felisberta Brazil/Maria Antonelli","3","Kristyna Kolocova/Marketa Slukova Czech Republic","14","21-16, 21-13","0:42","Pool C","Round 3"
"FIVB smart St. Pete Grand Slam",2015,"W","38","Jun 15 - Jun 21","Sayaka Mizoe/Takemi Nishibori Japan","30","Dominika Nestarcova Slovak Republic/Natalia Dubovcova","19","17-21, 22-20, 16-14","0:59","Pool C","Round 3"
"FIVB smart St. Pete Grand Slam",2015,"W","7","Jun 15 - Jun 21","Marta Menegatti/Viktoria Orsi Toth Italy","4","Anouk Verge-Depre Switzerland/Isabelle Forrer","29, Q6","21-17, 21-15","0:41","Pool D","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","8","Jun 15 - Jun 21","Chantal Laboureur/Julia Sude Germany","13, Q3","Melissa Humana-Paredes/Taylor Pischke Canada","20","21-16, 21-13","0:35","Pool D","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","23","Jun 15 - Jun 21","Marta Menegatti/Viktoria Orsi Toth Italy","4","Melissa Humana-Paredes/Taylor Pischke Canada","20","16-21, 21-19, 16-14","0:57","Pool D","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","24","Jun 15 - Jun 21","Chantal Laboureur/Julia Sude Germany","13, Q3","Anouk Verge-Depre Switzerland/Isabelle Forrer","29, Q6","21-13, 21-16","0:29","Pool D","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","39","Jun 15 - Jun 21","Marta Menegatti/Viktoria Orsi Toth Italy","4","Chantal Laboureur/Julia Sude Germany","13, Q3","14-21, 24-22, 15-11","0:54","Pool D","Round 3"
"FIVB smart St. Pete Grand Slam",2015,"W","40","Jun 15 - Jun 21","Anouk Verge-Depre Switzerland/Isabelle Forrer","29, Q6","Melissa Humana-Paredes/Taylor Pischke Canada","20","21-19, 19-21, 15-10","0:58","Pool D","Round 3"
"FIVB smart St. Pete Grand Slam",2015,"W","9","Jun 15 - Jun 21","Fernanda Alves/Taiana Lima Brazil","5, Q1","Barbara Hansel/Stefanie Schwaiger Austria","28, Q5","21-14, 21-19","0:38","Pool E","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","10","Jun 15 - Jun 21","Brooke Sweat United States/Lauren Fendrick","21","Louise Bawden/Taliqua Clancy Australia","12","21-19, 21-9","0:37","Pool E","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","25","Jun 15 - Jun 21","Fernanda Alves/Taiana Lima Brazil","5, Q1","Brooke Sweat United States/Lauren Fendrick","21","17-21, 21-19, 15-11","0:55","Pool E","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","26","Jun 15 - Jun 21","Louise Bawden/Taliqua Clancy Australia","12","Barbara Hansel/Stefanie Schwaiger Austria","28, Q5","21-18, 21-8","0:33","Pool E","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","41","Jun 15 - Jun 21","Fernanda Alves/Taiana Lima Brazil","5, Q1","Louise Bawden/Taliqua Clancy Australia","12","21-19, 21-12","0:38","Pool E","Round 3"
"FIVB smart St. Pete Grand Slam",2015,"W","42","Jun 15 - Jun 21","Brooke Sweat United States/Lauren Fendrick","21","Barbara Hansel/Stefanie Schwaiger Austria","28, Q5","21-19, 21-19","0:45","Pool E","Round 3"
"FIVB smart St. Pete Grand Slam",2015,"W","11","Jun 15 - Jun 21","Heather Bansley/Sarah Pavan Canada","6","Kim DiCello United States/Lane Carico","27","21-13, 18-21, 15-8","0:48","Pool F","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","12","Jun 15 - Jun 21","Britta Buthe Germany/Karla Borger","11","Carolina Horta/Liliane Maestrini Brazil","22, Q4","21-14, 19-21, 15-13","0:52","Pool F","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","27","Jun 15 - Jun 21","Heather Bansley/Sarah Pavan Canada","6","Carolina Horta/Liliane Maestrini Brazil","22, Q4","21-10, 21-17","0:38","Pool F","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","28","Jun 15 - Jun 21","Britta Buthe Germany/Karla Borger","11","Kim DiCello United States/Lane Carico","27","21-14, 21-13","0:34","Pool F","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","43","Jun 15 - Jun 21","Britta Buthe Germany/Karla Borger","11","Heather Bansley/Sarah Pavan Canada","6","21-18, 21-12","0:38","Pool F","Round 3"
"FIVB smart St. Pete Grand Slam",2015,"W","44","Jun 15 - Jun 21","Carolina Horta/Liliane Maestrini Brazil","22, Q4","Kim DiCello United States/Lane Carico","27","21-18, 17-21, 15-12","0:53","Pool F","Round 3"
"FIVB smart St. Pete Grand Slam",2015,"W","13","Jun 15 - Jun 21","Linline Matauatu/Miller Pata Vanuatu","26","Kira Walkenhorst Germany/Laura Ludwig","7","21-16, 21-18","0:35","Pool G","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","14","Jun 15 - Jun 21","Emily Day/Jennifer Kessy United States","23","Carolina Salgado/Maria Clara Salgado Brazil","10, Q2","21-11, 22-20","0:42","Pool G","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","29","Jun 15 - Jun 21","Emily Day/Jennifer Kessy United States","23","Kira Walkenhorst Germany/Laura Ludwig","7","24-22, 16-21, 15-13","1:14","Pool G","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","30","Jun 15 - Jun 21","Carolina Salgado/Maria Clara Salgado Brazil","10, Q2","Linline Matauatu/Miller Pata Vanuatu","26","21-16, 16-21, 15-12","0:50","Pool G","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","45","Jun 15 - Jun 21","Kira Walkenhorst Germany/Laura Ludwig","7","Carolina Salgado/Maria Clara Salgado Brazil","10, Q2","21-18, 21-17","0:43","Pool G","Round 3"
"FIVB smart St. Pete Grand Slam",2015,"W","46","Jun 15 - Jun 21","Emily Day/Jennifer Kessy United States","23","Linline Matauatu/Miller Pata Vanuatu","26","21-16, 21-15","0:41","Pool G","Round 3"
"FIVB smart St. Pete Grand Slam",2015,"W","15","Jun 15 - Jun 21","Ana Gallay/Georgina Klug Argentina","25","April Ross United States/Whitney Pavlik","8","22-20, 17-21, 15-12","1:00","Pool H","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","16","Jun 15 - Jun 21","Elsa Baquerizo/Liliana Fernandez Spain","9","Kinga Kolosinska Poland/Monika Brzostek","24","19-21, 21-14, 15-6","0:52","Pool H","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","31","Jun 15 - Jun 21","Kinga Kolosinska Poland/Monika Brzostek","24","April Ross United States/Whitney Pavlik","8","21-17, 19-21, 16-14","0:56","Pool H","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","32","Jun 15 - Jun 21","Elsa Baquerizo/Liliana Fernandez Spain","9","Ana Gallay/Georgina Klug Argentina","25","19-21, 21-18, 15-8","0:51","Pool H","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","47","Jun 15 - Jun 21","Elsa Baquerizo/Liliana Fernandez Spain","9","April Ross United States/Whitney Pavlik","8","Forfeit or other",,"Pool H","Round 3"
"FIVB smart St. Pete Grand Slam",2015,"W","48","Jun 15 - Jun 21","Kinga Kolosinska Poland/Monika Brzostek","24","Ana Gallay/Georgina Klug Argentina","25","21-15, 21-17","0:40","Pool H","Round 3"
"FIVB smart St. Pete Grand Slam",2015,"W","49","Jun 15 - Jun 21","Ana Gallay/Georgina Klug Argentina","25","Linline Matauatu Vanuatu/Miller Pata","26","21-17, 21-15","1:37","Winner's Bracket","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","50","Jun 15 - Jun 21","Anouk Verge-Depre Switzerland/Isabelle Forrer","29, Q6","Kinga Kolosinska/Monika Brzostek Poland","24","21-15, 21-19","0:40","Winner's Bracket","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","51","Jun 15 - Jun 21","Chantal Laboureur/Julia Sude Germany","13, Q3","Sayaka Mizoe Japan/Takemi Nishibori","30","19-21, 21-17, 18-16","1:02","Winner's Bracket","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","52","Jun 15 - Jun 21","Ilka Semmler Germany/Katrin Holtwick","15","Heather Bansley/Sarah Pavan Canada","6","21-18, 21-15","0:44","Winner's Bracket","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","53","Jun 15 - Jun 21","Jennifer Fopma United States/Nicole Branagh","31, Q7","Carolina Horta Brazil/Liliane Maestrini","22, Q4","21-14, 21-17","0:39","Winner's Bracket","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","54","Jun 15 - Jun 21","Brooke Sweat/Lauren Fendrick United States","21","Joana Heidrich Switzerland/Nadine Zumkehr","17","21-14, 21-14","0:36","Winner's Bracket","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","55","Jun 15 - Jun 21","Fan Wang/Yuan Yue China","16","Louise Bawden/Taliqua Clancy Australia","12","21-16, 21-16","0:38","Winner's Bracket","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","56","Jun 15 - Jun 21","Kira Walkenhorst Germany/Laura Ludwig","7","Kristyna Kolocova/Marketa Slukova Czech Republic","14","21-15, 13-21, 15-9","0:49","Winner's Bracket","Round 1"
"FIVB smart St. Pete Grand Slam",2015,"W","57","Jun 15 - Jun 21","Agatha Bednarczuk/Barbara Seixas Brazil","2","Ana Gallay/Georgina Klug Argentina","25","Forfeit or other",,"Winner's Bracket","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","58","Jun 15 - Jun 21","Anouk Verge-Depre Switzerland/Isabelle Forrer","29, Q6","Emily Day/Jennifer Kessy United States","23","21-17, 16-21, 17-15","0:54","Winner's Bracket","Round 2"
"FIVB smart St. Pete Grand Slam",2015,"W","59","Jun 15 - Jun 21","Fernanda Alves Brazil/Taiana Lima","5, Q1","Chantal Laboureur/Julia Sude Germany","13, Q3","21-18, 22-20","0:40","Winner's Bracket","Round 2"
